Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Demographic_Parity Rank,Total_cognitive_score Normalized,Total_cognitive_score Rank,Avg_outcome_difference Normalized,Avg_outcome_difference Rank,Percentage_treated Normalized,Percentage_treated Rank,Mean_outcome_treated Normalized,Mean_outcome_treated Rank,Mean_outcome_control Normalized,Mean_outcome_control Rank,Accuracy Normalized,Accuracy Rank,Mean_Regret Normalized,Mean_Regret Rank,Cost_effectiveness Normalized,Cost_effectiveness Rank,Weighted Normalized-Sum,Final Rank,config_id,best_criterion,weight_Demographic_Parity,weight_Total_cognitive_score,weight_Avg_outcome_difference,weight_Percentage_treated,weight_Mean_outcome_treated,weight_Mean_outcome_control,weight_Accuracy,weight_Mean_Regret,weight_Cost_effectiveness
Policy_Maker,942.6,0.0845637583892617,0.9933333333333332,6.284563758389262,6.2,0.0436729306717284,0.9933333333333332,0.0113333333333333,0.0072463768115942,0.9933333333333332,0.0066666666666666,0.9777777777777777,4.0,0.9958465673117353,2.0,0.9779309216000784,2.0,0.9906542056074764,2.0,0.5045094938630635,7.0,1.0,1.0,0.9933333333333332,2.0,0.995846567311735,2.0,0.5045094938631397,7.0,0.9766457828463618,1,1,Policy_Maker,0.3540617274334952,0.1920841689359679,7.526604369571384e-05,0.1326233614793974,0.004237322851691855,0.06250398675470605,0.049618182009810406,0.18410491217394165,0.0206910723172938
Outcome_Maxim,944.3,0.0,1.0,6.295333333333333,0.0,0.0437925926155514,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6120883098081804,5.0,0.0,10.0,1.0,1.0,1.0,1.0,0.6120883098082475,5.0,0.9278259973415245,2,1,Policy_Maker,0.3540617274334952,0.1920841689359679,7.526604369571384e-05,0.1326233614793974,0.004237322851691855,0.06250398675470605,0.049618182009810406,0.18410491217394165,0.0206910723172938
Parent,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.896631868997312,3,1,Policy_Maker,0.3540617274334952,0.1920841689359679,7.526604369571384e-05,0.1326233614793974,0.004237322851691855,0.06250398675470605,0.049618182009810406,0.18410491217394165,0.0206910723172938
Nash Bargaining,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.896631868997312,4,1,Policy_Maker,0.3540617274334952,0.1920841689359679,7.526604369571384e-05,0.1326233614793974,0.004237322851691855,0.06250398675470605,0.049618182009810406,0.18410491217394165,0.0206910723172938
Compromise Programming,918.8999999046326,2.224285723822458,0.9333333333333332,6.274285714285715,4.049999990463257,0.0435587301816889,0.9333333333333332,0.1693333339691162,0.072463768115942,0.9333333333333332,0.0666666666666666,0.7777777777777778,7.0,0.9379428290129235,3.0,0.419515677189941,3.0,0.9065420560747661,3.0,0.401840649397663,8.0,0.6532258049134285,2.0,0.9333333333333332,3.0,0.9379428290129231,3.0,0.4018406493976562,8.0,0.8456421873942003,5,1,Policy_Maker,0.3540617274334952,0.1920841689359679,7.526604369571384e-05,0.1326233614793974,0.004237322851691855,0.06250398675470605,0.049618182009810406,0.18410491217394165,0.0206910723172938
Maximin,788.1999999284743,3.4336507952402493,0.7,6.284761904761903,2.851111109521654,0.043675132298091,0.7,1.040666667143504,-0.217391304347826,0.7,0.3,0.3333333333333335,8.0,0.6186171512145723,8.0,0.10390089038742946,6.0,0.5794392523364484,8.0,0.5064888061630631,6.0,0.4598566305680087,5.0,0.7,8.0,0.6186171512145725,8.0,0.5064888061630676,6.0,0.5036941483739841,6,1,Policy_Maker,0.3540617274334952,0.1920841689359679,7.526604369571384e-05,0.1326233614793974,0.004237322851691855,0.06250398675470605,0.049618182009810406,0.18410491217394165,0.0206910723172938
Nash Social Welfare,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.463348771614109,7,1,Policy_Maker,0.3540617274334952,0.1920841689359679,7.526604369571384e-05,0.1326233614793974,0.004237322851691855,0.06250398675470605,0.049618182009810406,0.18410491217394165,0.0206910723172938
Proportional Fairness,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.463348771614109,8,1,Policy_Maker,0.3540617274334952,0.1920841689359679,7.526604369571384e-05,0.1326233614793974,0.004237322851691855,0.06250398675470605,0.049618182009810406,0.18410491217394165,0.0206910723172938
Healthcare_Provider,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.35451265927810716,9,1,Policy_Maker,0.3540617274334952,0.1920841689359679,7.526604369571384e-05,0.1326233614793974,0.004237322851691855,0.06250398675470605,0.049618182009810406,0.18410491217394165,0.0206910723172938
Kalai-Smorodinsky,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.35451265927810716,10,1,Policy_Maker,0.3540617274334952,0.1920841689359679,7.526604369571384e-05,0.1326233614793974,0.004237322851691855,0.06250398675470605,0.049618182009810406,0.18410491217394165,0.0206910723172938
Policy_Maker,942.6,0.0845637583892617,0.9933333333333332,6.284563758389262,6.2,0.0436729306717284,0.9933333333333332,0.0113333333333333,0.0072463768115942,0.9933333333333332,0.0066666666666666,0.9777777777777777,4.0,0.9958465673117353,2.0,0.9779309216000784,2.0,0.9906542056074764,2.0,0.5045094938630635,7.0,1.0,1.0,0.9933333333333332,2.0,0.995846567311735,2.0,0.5045094938631397,7.0,0.8806543895242861,1,2,Policy_Maker,0.048166958052647924,0.23403797714524177,0.0058036959937012595,0.021225128997878213,0.16157508662530282,0.12147925200634656,0.2725354997002215,0.064879540664491,0.0702968608141689
Outcome_Maxim,944.3,0.0,1.0,6.295333333333333,0.0,0.0437925926155514,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6120883098081804,5.0,0.0,10.0,1.0,1.0,1.0,1.0,0.6120883098082475,5.0,0.788574908954344,2,2,Policy_Maker,0.048166958052647924,0.23403797714524177,0.0058036959937012595,0.021225128997878213,0.16157508662530282,0.12147925200634656,0.2725354997002215,0.064879540664491,0.0702968608141689
Compromise Programming,918.8999999046326,2.224285723822458,0.9333333333333332,6.274285714285715,4.049999990463257,0.0435587301816889,0.9333333333333332,0.1693333339691162,0.072463768115942,0.9333333333333332,0.0666666666666666,0.7777777777777778,7.0,0.9379428290129235,3.0,0.419515677189941,3.0,0.9065420560747661,3.0,0.401840649397663,8.0,0.6532258049134285,2.0,0.9333333333333332,3.0,0.9379428290129231,3.0,0.4018406493976562,8.0,0.7664023679248545,3,2,Policy_Maker,0.048166958052647924,0.23403797714524177,0.0058036959937012595,0.021225128997878213,0.16157508662530282,0.12147925200634656,0.2725354997002215,0.064879540664491,0.0702968608141689
Nash Social Welfare,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.7359027309417374,4,2,Policy_Maker,0.048166958052647924,0.23403797714524177,0.0058036959937012595,0.021225128997878213,0.16157508662530282,0.12147925200634656,0.2725354997002215,0.064879540664491,0.0702968608141689
Proportional Fairness,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.7359027309417374,5,2,Policy_Maker,0.048166958052647924,0.23403797714524177,0.0058036959937012595,0.021225128997878213,0.16157508662530282,0.12147925200634656,0.2725354997002215,0.064879540664491,0.0702968608141689
Parent,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.6701311713557274,6,2,Policy_Maker,0.048166958052647924,0.23403797714524177,0.0058036959937012595,0.021225128997878213,0.16157508662530282,0.12147925200634656,0.2725354997002215,0.064879540664491,0.0702968608141689
Nash Bargaining,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.6701311713557274,7,2,Policy_Maker,0.048166958052647924,0.23403797714524177,0.0058036959937012595,0.021225128997878213,0.16157508662530282,0.12147925200634656,0.2725354997002215,0.064879540664491,0.0702968608141689
Maximin,788.1999999284743,3.4336507952402493,0.7,6.284761904761903,2.851111109521654,0.043675132298091,0.7,1.040666667143504,-0.217391304347826,0.7,0.3,0.3333333333333335,8.0,0.6186171512145723,8.0,0.10390089038742946,6.0,0.5794392523364484,8.0,0.5064888061630631,6.0,0.4598566305680087,5.0,0.7,8.0,0.6186171512145725,8.0,0.5064888061630676,6.0,0.5779512732014014,8,2,Policy_Maker,0.048166958052647924,0.23403797714524177,0.0058036959937012595,0.021225128997878213,0.16157508662530282,0.12147925200634656,0.2725354997002215,0.064879540664491,0.0702968608141689
Healthcare_Provider,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.3198971882379743,9,2,Policy_Maker,0.048166958052647924,0.23403797714524177,0.0058036959937012595,0.021225128997878213,0.16157508662530282,0.12147925200634656,0.2725354997002215,0.064879540664491,0.0702968608141689
Kalai-Smorodinsky,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.3198971882379743,10,2,Policy_Maker,0.048166958052647924,0.23403797714524177,0.0058036959937012595,0.021225128997878213,0.16157508662530282,0.12147925200634656,0.2725354997002215,0.064879540664491,0.0702968608141689
Policy_Maker,942.6,0.0845637583892617,0.9933333333333332,6.284563758389262,6.2,0.0436729306717284,0.9933333333333332,0.0113333333333333,0.0072463768115942,0.9933333333333332,0.0066666666666666,0.9777777777777777,4.0,0.9958465673117353,2.0,0.9779309216000784,2.0,0.9906542056074764,2.0,0.5045094938630635,7.0,1.0,1.0,0.9933333333333332,2.0,0.995846567311735,2.0,0.5045094938631397,7.0,0.8574554376430188,1,3,Policy_Maker,0.2055887832918213,0.1915047953483203,0.035905120166775426,0.02339526104813214,0.13578994394768917,0.05975588516890474,0.09487305977601979,0.11641186405933618,0.13677528719300086
Outcome_Maxim,944.3,0.0,1.0,6.295333333333333,0.0,0.0437925926155514,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6120883098081804,5.0,0.0,10.0,1.0,1.0,1.0,1.0,0.6120883098082475,5.0,0.8345128753317955,2,3,Policy_Maker,0.2055887832918213,0.1915047953483203,0.035905120166775426,0.02339526104813214,0.13578994394768917,0.05975588516890474,0.09487305977601979,0.11641186405933618,0.13677528719300086
Compromise Programming,918.8999999046326,2.224285723822458,0.9333333333333332,6.274285714285715,4.049999990463257,0.0435587301816889,0.9333333333333332,0.1693333339691162,0.072463768115942,0.9333333333333332,0.0666666666666666,0.7777777777777778,7.0,0.9379428290129235,3.0,0.419515677189941,3.0,0.9065420560747661,3.0,0.401840649397663,8.0,0.6532258049134285,2.0,0.9333333333333332,3.0,0.9379428290129231,3.0,0.4018406493976562,8.0,0.7220922232809621,3,3,Policy_Maker,0.2055887832918213,0.1915047953483203,0.035905120166775426,0.02339526104813214,0.13578994394768917,0.05975588516890474,0.09487305977601979,0.11641186405933618,0.13677528719300086
Parent,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.6452491158178819,4,3,Policy_Maker,0.2055887832918213,0.1915047953483203,0.035905120166775426,0.02339526104813214,0.13578994394768917,0.05975588516890474,0.09487305977601979,0.11641186405933618,0.13677528719300086
Nash Bargaining,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.6452491158178819,5,3,Policy_Maker,0.2055887832918213,0.1915047953483203,0.035905120166775426,0.02339526104813214,0.13578994394768917,0.05975588516890474,0.09487305977601979,0.11641186405933618,0.13677528719300086
Nash Social Welfare,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.6176323045970821,6,3,Policy_Maker,0.2055887832918213,0.1915047953483203,0.035905120166775426,0.02339526104813214,0.13578994394768917,0.05975588516890474,0.09487305977601979,0.11641186405933618,0.13677528719300086
Proportional Fairness,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.6176323045970821,7,3,Policy_Maker,0.2055887832918213,0.1915047953483203,0.035905120166775426,0.02339526104813214,0.13578994394768917,0.05975588516890474,0.09487305977601979,0.11641186405933618,0.13677528719300086
Maximin,788.1999999284743,3.4336507952402493,0.7,6.284761904761903,2.851111109521654,0.043675132298091,0.7,1.040666667143504,-0.217391304347826,0.7,0.3,0.3333333333333335,8.0,0.6186171512145723,8.0,0.10390089038742946,6.0,0.5794392523364484,8.0,0.5064888061630631,6.0,0.4598566305680087,5.0,0.7,8.0,0.6186171512145725,8.0,0.5064888061630676,6.0,0.5082403479852241,8,3,Policy_Maker,0.2055887832918213,0.1915047953483203,0.035905120166775426,0.02339526104813214,0.13578994394768917,0.05975588516890474,0.09487305977601979,0.11641186405933618,0.13677528719300086
Healthcare_Provider,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.40413400066568284,9,3,Policy_Maker,0.2055887832918213,0.1915047953483203,0.035905120166775426,0.02339526104813214,0.13578994394768917,0.05975588516890474,0.09487305977601979,0.11641186405933618,0.13677528719300086
Kalai-Smorodinsky,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.40413400066568284,10,3,Policy_Maker,0.2055887832918213,0.1915047953483203,0.035905120166775426,0.02339526104813214,0.13578994394768917,0.05975588516890474,0.09487305977601979,0.11641186405933618,0.13677528719300086
Policy_Maker,942.6,0.0845637583892617,0.9933333333333332,6.284563758389262,6.2,0.0436729306717284,0.9933333333333332,0.0113333333333333,0.0072463768115942,0.9933333333333332,0.0066666666666666,0.9777777777777777,4.0,0.9958465673117353,2.0,0.9779309216000784,2.0,0.9906542056074764,2.0,0.5045094938630635,7.0,1.0,1.0,0.9933333333333332,2.0,0.995846567311735,2.0,0.5045094938631397,7.0,0.8779127442217309,1,4,Policy_Maker,0.3012766542161099,0.01581289537034086,0.15081532292989308,0.11567176794122676,0.19528866618741136,0.06162973467845278,0.04822253512005189,0.08407142214236664,0.027211001414146667
Outcome_Maxim,944.3,0.0,1.0,6.295333333333333,0.0,0.0437925926155514,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6120883098081804,5.0,0.0,10.0,1.0,1.0,1.0,1.0,0.6120883098082475,5.0,0.8520600431951106,2,4,Policy_Maker,0.3012766542161099,0.01581289537034086,0.15081532292989308,0.11567176794122676,0.19528866618741136,0.06162973467845278,0.04822253512005189,0.08407142214236664,0.027211001414146667
Compromise Programming,918.8999999046326,2.224285723822458,0.9333333333333332,6.274285714285715,4.049999990463257,0.0435587301816889,0.9333333333333332,0.1693333339691162,0.072463768115942,0.9333333333333332,0.0666666666666666,0.7777777777777778,7.0,0.9379428290129235,3.0,0.419515677189941,3.0,0.9065420560747661,3.0,0.401840649397663,8.0,0.6532258049134285,2.0,0.9333333333333332,3.0,0.9379428290129231,3.0,0.4018406493976562,8.0,0.6708180240303097,3,4,Policy_Maker,0.3012766542161099,0.01581289537034086,0.15081532292989308,0.11567176794122676,0.19528866618741136,0.06162973467845278,0.04822253512005189,0.08407142214236664,0.027211001414146667
Parent,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.6378675091594986,4,4,Policy_Maker,0.3012766542161099,0.01581289537034086,0.15081532292989308,0.11567176794122676,0.19528866618741136,0.06162973467845278,0.04822253512005189,0.08407142214236664,0.027211001414146667
